Questions,Answers
What is your first name?,My full name is Emuejevoke Eshemitan.
Could you please spell your first name for me?,My full name is Emuejevoke Eshemitan.
Do you have any nicknames or alternate names you go by?,My full name is Emuejevoke Eshemitan.
"How do you pronounce your last name, Eshemitan?",My full name is Emuejevoke Eshemitan.
Do you have any middle names?,My full name is Emuejevoke Eshemitan.
Who is Emuejevoke Eshemitan?,My full name is Emuejevoke Eshemitan.
May I know your name?,My full name is Emuejevoke Eshemitan.
Could you please tell me your name?,My full name is Emuejevoke Eshemitan.
What name do you go by?,My full name is Emuejevoke Eshemitan.
What is your given name?,My full name is Emuejevoke Eshemitan.
May I ask your name?,My full name is Emuejevoke Eshemitan.
What name should I address you by?,My full name is Emuejevoke Eshemitan.
What is the name you prefer to be called?,My full name is Emuejevoke Eshemitan.
Could you kindly share your name with me?,My full name is Emuejevoke Eshemitan.
What should I call you?,My full name is Emuejevoke Eshemitan.
Would you mind sharing your name?,My full name is Emuejevoke Eshemitan.
May I inquire about your name?,My full name is Emuejevoke Eshemitan.
What is the name you use?,My full name is Emuejevoke Eshemitan.
What name were you given at birth?,My full name is Emuejevoke Eshemitan.
Can you tell me your full name?,My full name is Emuejevoke Eshemitan.
What is your first name?,My full name is Emuejevoke Eshemitan.
Do you have a name you prefer to be called?,My full name is Emuejevoke Eshemitan.
What name do your friends and family use for you?,My full name is Emuejevoke Eshemitan.
Can you introduce yourself by name?,My full name is Emuejevoke Eshemitan.
What is the name you identify with?,My full name is Emuejevoke Eshemitan.
What name would you like me to refer to you as?,My full name is Emuejevoke Eshemitan.
What is the name you commonly use?,My full name is Emuejevoke Eshemitan.
What name is written on your identification documents?,My full name is Emuejevoke Eshemitan.
What is the name you typically introduce yourself with?,My full name is Emuejevoke Eshemitan.
"Could you share your name, please?",My full name is Emuejevoke Eshemitan.
What name do you usually go by?,My full name is Emuejevoke Eshemitan.
"What is your name, if you don't mind me asking?",My full name is Emuejevoke Eshemitan.
What is the name you are known as?,My full name is Emuejevoke Eshemitan.
Can you provide me with your name?,My full name is Emuejevoke Eshemitan.
What is the name others recognize you by?,My full name is Emuejevoke Eshemitan.
What is your preferred name?,My full name is Emuejevoke Eshemitan.
